ID,attachment_Code,attachment_Name,attachment_Type,model,status,basePrice
550e8400-e29b-41d4-a716-446655445001,ATT-AUG-A14B,A14B Auger,Auger,A14B,ACTIVE,5000
550e8400-e29b-41d4-a716-446655445002,ATT-BHL-BH150,BH150 Backhoe,Backhoe,BH150,ACTIVE,7500
550e8400-e29b-41d4-a716-446655445003,ATT-BLD-2007,2007 mm Dozer Blade,Blade,2007 mm,ACTIVE,4500
550e8400-e29b-41d4-a716-446655445004,ATT-BLD-2337,2337 mm Dozer Blade,Blade,2337 mm,ACTIVE,5000
550e8400-e29b-41d4-a716-446655445005,ATT-BRM-BU115,BU115 Utility Broom,Broom,BU115,ACTIVE,4000
550e8400-e29b-41d4-a716-446655445006,ATT-BRM-BP115C,BP115C Pickup Broom,Broom,BP115C,ACTIVE,6500
550e8400-e29b-41d4-a716-446655445007,ATT-CMP-CV16B,CV16B Vibratory Drum Compactor,Compactor,CV16B,ACTIVE,3000
550e8400-e29b-41d4-a716-446655445008,ATT-FRK-1220,1220 mm Pallet Forks,Fork,1220 mm,ACTIVE,8000
550e8400-e29b-41d4-a716-446655445009,ATT-HAM-H120GC,H120GC S Hammer,Hydraulic Hammer,H120GC S,ACTIVE,7000
550e8400-e29b-41d4-a716-446655445010,ATT-TRN-T9B,T9B Hydraulic Trencher,Trencher,T9B,ACTIVE,5500
550e8400-e29b-41d4-a716-446655445011,ATT-BKT-1730,1730 mm Industrial Grapple Bucket,Bucket - Skid Steer Loader,1730 mm,ACTIVE,5000
550e8400-e29b-41d4-a716-446655445012,ATT-BKT-1576G,1576 mm Industrial Grapple Bucket,Bucket - Skid Steer Loader,1576 mm,ACTIVE,4500
550e8400-e29b-41d4-a716-446655445013,ATT-BKT-1576M,1576 mm Multi-Purpose Bucket,Bucket - Skid Steer Loader,1576 mm,ACTIVE,6000 
550e8400-e29b-41d4-a716-446655445014,ATT-BKT-MB250,MB250 Mixing Bucket,Mixing Bucket,MB250,ACTIVE,5500
550e8400-e29b-41d4-a716-446655445015,ATT-BKT-MB200,MB200 Mixing Bucket,Mixing Bucket,MB200,ACTIVE,3400
