ID,product_Type,product_Code,product_Name,product_Group,Category,Discription,Model,Status
550e8400-e29b-41d4-a716-446655440001,EQUIPMENT,CAT-MG-120K2-NG,Cat 120K2 Motor Grader,Construction Equipment,Motor Grader,Motor grader for road construction grading levelling and surface preparation,120K2,ACTIVE
550e8400-e29b-41d4-a716-446655440002,EQUIPMENT,CAT-MG-120NG,Cat 120 NG Motor Grader,Construction Equipment,Motor Grader,Motor grader for road construction maintenance and grading applications,120 NG,ACTIVE
550e8400-e29b-41d4-a716-446655440003,EQUIPMENT,CAT-MG-120GC,Cat 120 GC Motor Grader,Construction Equipment,Motor Grader,Motor grader for grading road maintenance and surface preparation,120 GC,ACTIVE
550e8400-e29b-41d4-a716-446655440004,EQUIPMENT,SEM-MG-915,SEM 915 Motor Grader,Construction Equipment,Motor Grader,Motor grader for grading levelling earthmoving and road construction operations,915,ACTIVE
550e8400-e29b-41d4-a716-446655440005,EQUIPMENT,SEM-MG-919,SEM 919 Motor Grader,Construction Equipment,Motor Grader,Motor grader for levelling spreading fine grading and earthmoving applications,919,ACTIVE
550e8400-e29b-41d4-a716-446655440006,EQUIPMENT,CAT-WL-950MZ,Cat 950M Z Wheel Loader,Construction Equipment,Wheel Loader,Wheel loader for material handling loading and construction applications,950M Z,ACTIVE
550e8400-e29b-41d4-a716-446655440007,EQUIPMENT,SEM-WL-656D,SEM 656D Wheel Loader,Construction Equipment,Wheel Loader,Wheel loader for construction mining quarrying forestry and material handling,656D,ACTIVE
550e8400-e29b-41d4-a716-446655440008,EQUIPMENT,HIND-WL-2021E,Hindustan 2021E Wheel Loader,Construction Equipment,Wheel Loader,Wheel loader for material handling loading and general construction operations,2021E,ACTIVE
550e8400-e29b-41d4-a716-446655440009,EQUIPMENT,CAT-EXC-320D3,Cat 320D3 Hydraulic Excavator,Earthmoving Equipment,Hydraulic Excavator,Hydraulic excavator for excavation earthmoving construction and infrastructure applications,320D3,ACTIVE
550e8400-e29b-41d4-a716-446655440010,EQUIPMENT,CAT-EXC-323D3,Cat 323D3 Hydraulic Excavator,Earthmoving Equipment,Hydraulic Excavator,Hydraulic excavator for high production digging and demanding earthmoving applications,323D3,ACTIVE
550e8400-e29b-41d4-a716-446655440011,EQUIPMENT,CAT-EXC-320D3GC,Cat 320D3 GC Hydraulic Excavator,Earthmoving Equipment,Hydraulic Excavator,Hydraulic excavator designed for efficient and economical construction operations,320D3 GC,ACTIVE
550e8400-e29b-41d4-a716-446655440012,EQUIPMENT,CAT-BHL-424,Cat 424 Backhoe Loader,Construction Equipment,Backhoe Loader,Backhoe loader for excavation trenching loading and utility construction work,424,ACTIVE
550e8400-e29b-41d4-a716-446655440013,EQUIPMENT,CAT-DZR-D6,Cat D6 Dozer,Earthmoving Equipment,Dozer,Crawler dozer for earthmoving grading site preparation and material spreading,D6,ACTIVE
550e8400-e29b-41d4-a716-446655440014,EQUIPMENT,SEM-DZR-816,SEM 816 Dozer,Earthmoving Equipment,Dozer,Dozer for ripping landscaping clearance levelling earthmoving and site preparation,816,ACTIVE
550e8400-e29b-41d4-a716-446655440015,EQUIPMENT,CAT-OHT-777,Cat 777 Off-Highway Truck,Mining Equipment,Off-Highway Truck,Heavy duty truck for transporting material in mining and demanding construction operations,777,ACTIVE
550e8400-e29b-41d4-a716-446655440016,EQUIPMENT,CAT-MG-14,Cat 14 Motor Grader,Mining Equipment,Motor Grader,High performance motor grader for demanding grading mining and haul road applications,14,ACTIVE
550e8400-e29b-41d4-a716-446655440017,EQUIPMENT,CAT-MG-24,Cat 24 Motor Grader,Mining Equipment,Motor Grader,Large motor grader designed for mine site haul road construction and maintenance,24,ACTIVE
550e8400-e29b-41d4-a716-446655440018,EQUIPMENT,CAT-GEN-RENT,Cat Rental Generator Set,Power Systems,Generator Set,Rental generator solution for temporary standby and prime power requirements,Rental Generator,ACTIVE
550e8400-e29b-41d4-a716-446655440019,EQUIPMENT,CAT-TL-953,Cat 953 Track Loader,Construction Equipment,Track Loader,Track loader for digging loading grading land clearing and earthmoving applications,953,ACTIVE
550e8400-e29b-41d4-a716-446655440020,EQUIPMENT,SEM-WL-636D,SEM 636D Wheel Loader,Construction Equipment,Wheel Loader,Wheel loader for construction mining forestry and material handling applications,636D,ACTIVE
