ID,Daily_Rental_Rate,Weekly_Rental_Rate,Monthly_Rental_Rate,Minimum_Rental_Days,attachment_ref_ID
550e8400-e29b-41d4-a716-446655446001,5000.00,28000.00,90000.00,7,550e8400-e29b-41d4-a716-446655445001
550e8400-e29b-41d4-a716-446655446002,7500.00,42000.00,135000.00,7,550e8400-e29b-41d4-a716-446655445002
550e8400-e29b-41d4-a716-446655446003,4500.00,25000.00,80000.00,7,550e8400-e29b-41d4-a716-446655445003
550e8400-e29b-41d4-a716-446655446004,5000.00,28000.00,90000.00,7,550e8400-e29b-41d4-a716-446655445004
550e8400-e29b-41d4-a716-446655446005,4000.00,22000.00,70000.00,7,550e8400-e29b-41d4-a716-446655445005
550e8400-e29b-41d4-a716-446655446006,4500.00,25000.00,80000.00,7,550e8400-e29b-41d4-a716-446655445006
550e8400-e29b-41d4-a716-446655446007,6500.00,36000.00,115000.00,7,550e8400-e29b-41d4-a716-446655445007
550e8400-e29b-41d4-a716-446655446008,3000.00,16000.00,50000.00,7,550e8400-e29b-41d4-a716-446655445008
550e8400-e29b-41d4-a716-446655446009,8000.00,45000.00,145000.00,7,550e8400-e29b-41d4-a716-446655445009
550e8400-e29b-41d4-a716-446655446010,7000.00,39000.00,125000.00,7,550e8400-e29b-41d4-a716-446655445010
550e8400-e29b-41d4-a716-446655446011,5500.00,30000.00,95000.00,7,550e8400-e29b-41d4-a716-446655445011
550e8400-e29b-41d4-a716-446655446012,5000.00,28000.00,90000.00,7,550e8400-e29b-41d4-a716-446655445012
550e8400-e29b-41d4-a716-446655446013,4500.00,25000.00,80000.00,7,550e8400-e29b-41d4-a716-446655445013
550e8400-e29b-41d4-a716-446655446014,6000.00,33000.00,105000.00,7,550e8400-e29b-41d4-a716-446655445014
550e8400-e29b-41d4-a716-446655446015,5500.00,30000.00,95000.00,7,550e8400-e29b-41d4-a716-446655445015
