ID,Daily_Rental_Rate,Weekly_Rental_Rate,Monthly_Rental_Rate,product_ref_ID
550e8400-e29b-41d4-a716-446655442001,25000,140000,450000,550e8400-e29b-41d4-a716-446655440001
550e8400-e29b-41d4-a716-446655442002,26000,145000,470000,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655442003,24000,135000,440000,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655442004,23000,130000,420000,550e8400-e29b-41d4-a716-446655440004
550e8400-e29b-41d4-a716-446655442005,25000,140000,450000,550e8400-e29b-41d4-a716-446655440005
550e8400-e29b-41d4-a716-446655442006,35000,190000,600000,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655442007,28000,155000,490000,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655442008,26000,145000,460000,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655442009,25000,140000,450000,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655442010,30000,165000,530000,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655442011,24000,135000,440000,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655442012,22000,125000,400000,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655442013,42000,225000,720000,550e8400-e29b-41d4-a716-446655440013
550e8400-e29b-41d4-a716-446655442014,40000,215000,680000,550e8400-e29b-41d4-a716-446655440014
550e8400-e29b-41d4-a716-446655442015,65000,350000,1100000,550e8400-e29b-41d4-a716-446655440015
550e8400-e29b-41d4-a716-446655442016,50000,270000,850000,550e8400-e29b-41d4-a716-446655440016
550e8400-e29b-41d4-a716-446655442017,85000,450000,1450000,550e8400-e29b-41d4-a716-446655440017
550e8400-e29b-41d4-a716-446655442018,18000,100000,325000,550e8400-e29b-41d4-a716-446655440018
550e8400-e29b-41d4-a716-446655442019,23000,130000,420000,550e8400-e29b-41d4-a716-446655440019
550e8400-e29b-41d4-a716-446655442020,28000,150000,480000,550e8400-e29b-41d4-a716-446655440020
