ID,equipment_Code,equipment_Name,serial_Number,model,status,location,product_ref_ID
550e8400-e29b-41d4-a716-446655441001,EQ-CAT120K2-001,Cat 120K2 Motor Grader,CAT120K2-F001,120K2,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440001
550e8400-e29b-41d4-a716-446655441002,EQ-CAT120NG-001,Cat 120 NG Motor Grader,CAT120NG-F001,120 NG,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655441003,EQ-CAT120GC-001,Cat 120 GC Motor Grader,CAT120GC-F001,120 GC,AVAILABLE,Hyderabad,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655441004,EQ-SEM915-001,SEM 915 Motor Grader,SEM915-F001,915,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440004
550e8400-e29b-41d4-a716-446655441005,EQ-SEM919-001,SEM 919 Motor Grader,SEM919-F001,919,UNDER_MAINTENANCE,Coimbatore,550e8400-e29b-41d4-a716-446655440005
550e8400-e29b-41d4-a716-446655441006,EQ-CAT950MZ-001,Cat 950M Z Wheel Loader,CAT950MZ-F001,950M Z,AVAILABLE,Raipur,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655441007,EQ-SEM656D-001,SEM 656D Wheel Loader,SEM656D-F001,656D,AT_CUSTOMER,Bhubaneswar,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655441008,EQ-HIND2021E-001,Hindustan 2021E Wheel Loader,HIND2021E-F001,2021E,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655441009,EQ-CAT320D3-001,Cat 320D3 Hydraulic Excavator,CAT320D3-F001,320D3,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655441010,EQ-CAT323D3-001,Cat 323D3 Hydraulic Excavator,CAT323D3-F001,323D3,AVAILABLE,Pune,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655441011,EQ-CAT320D3GC-001,Cat 320D3 GC Hydraulic Excavator,CAT320D3GC-F001,320D3 GC,UNDER_MAINTENANCE,Nagpur,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655441012,EQ-CAT424-001,Cat 424 Backhoe Loader,CAT424-F001,424,AVAILABLE,Thiruvallur,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655441013,EQ-CATD6-001,Cat D6 Dozer,CATD6-F001,D6,AVAILABLE,Bengaluru,550e8400-e29b-41d4-a716-446655440013
550e8400-e29b-41d4-a716-446655441014,EQ-SEM816-001,SEM 816 Dozer,SEM816-F001,816,AVAILABLE,Ranchi,550e8400-e29b-41d4-a716-446655440014
550e8400-e29b-41d4-a716-446655441015,EQ-CAT777-001,Cat 777 Off-Highway Truck,CAT777-F001,777,AT_CUSTOMER,Odisha,550e8400-e29b-41d4-a716-446655440015
550e8400-e29b-41d4-a716-446655441016,EQ-CAT14-001,Cat 14 Motor Grader,CAT14-F001,14,AVAILABLE,Raipur,550e8400-e29b-41d4-a716-446655440016
550e8400-e29b-41d4-a716-446655441017,EQ-CAT24-001,Cat 24 Motor Grader,CAT24-F001,24,AVAILABLE,Nagpur,550e8400-e29b-41d4-a716-446655440017
550e8400-e29b-41d4-a716-446655441018,EQ-CATGEN-001,Cat Rental Generator Set,CATGEN-F001,Rental Generator,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440018
550e8400-e29b-41d4-a716-446655441019,EQ-CAT953-001,Cat 953 Track Loader,CAT953-F001,953,AVAILABLE,Chennai,550e8400-e29b-41d4-a716-446655440019
550e8400-e29b-41d4-a716-446655441020,EQ-SEM636D-001,SEM 636D Wheel Loader,SEM636D-F001,636D,AVAILABLE,Raipur,550e8400-e29b-41d4-a716-446655440020
